1,78.856
2,78.856
3,78.856
4,78.856
5,78.856
6,78.856
7,78.856
8,78.856
9,78.856
10,78.856
11,78.856
12,78.856
13,78.856
14,78.856
15,78.856
16,78.856
17,78.856
18,78.856
19,78.856
20,78.856
1,57.256
2,57.256
3,57.256
4,57.256
5,57.282
6,57.282
7,57.282
8,57.282
9,57.256
10,57.266
11,57.266
12,57.266
13,57.266
14,57.266
15,57.266
16,57.266
17,57.266
18,57.256
19,57.256
20,57.256
1,49.849
2,46.472
3,46.472
4,49.849
5,46.472
6,46.472
7,46.472
8,46.472
9,46.695
10,46.472
11,46.472
12,46.472
13,46.472
14,46.472
15,46.472
16,46.472
17,46.472
18,49.849
19,46.472
20,46.472
